ID_Estado,Fecha,Año,Mes,Tipo_Propiedad,Precio,Tasa_Desempleo,Clasificacion
CA,2010-02,2010,2,1Bedroom,231512.0,12.6,Critico
CA,2010-03,2010,3,1Bedroom,230640.0,12.6,Critico
CA,2010-04,2010,4,1Bedroom,230508.0,12.5,Critico
CA,2010-05,2010,5,1Bedroom,230649.0,12.5,Critico
CA,2010-06,2010,6,1Bedroom,229228.0,12.4,Critico
CA,2010-07,2010,7,1Bedroom,227264.0,12.3,Critico
CA,2010-08,2010,8,1Bedroom,225162.0,12.4,Critico
CA,2010-09,2010,9,1Bedroom,223295.0,12.4,Critico
CA,2010-10,2010,10,1Bedroom,221244.0,12.4,Critico
CA,2010-11,2010,11,1Bedroom,218563.0,12.4,Critico
CA,2010-12,2010,12,1Bedroom,216192.0,12.4,Critico
CA,2011-01,2011,1,1Bedroom,214229.0,12.3,Critico
CA,2011-02,2011,2,1Bedroom,212749.0,12.2,Critico
CA,2011-03,2011,3,1Bedroom,210900.0,12.1,Critico
CA,2011-04,2011,4,1Bedroom,208812.0,12.0,Critico
CA,2011-05,2011,5,1Bedroom,206043.0,12.0,Critico
CA,2011-06,2011,6,1Bedroom,204318.0,12.0,Critico
CA,2011-07,2011,7,1Bedroom,202940.0,12.0,Critico
CA,2011-08,2011,8,1Bedroom,201518.0,11.9,Critico
CA,2011-09,2011,9,1Bedroom,199927.0,11.8,Critico
CA,2011-10,2011,10,1Bedroom,198290.0,11.6,Critico
CA,2011-11,2011,11,1Bedroom,197676.0,11.5,Critico
CA,2011-12,2011,12,1Bedroom,196752.0,11.3,Critico
CA,2012-01,2012,1,1Bedroom,196095.0,11.2,Critico
CA,2012-02,2012,2,1Bedroom,195513.0,11.0,Critico
CA,2012-03,2012,3,1Bedroom,195422.0,11.0,Critico
CA,2012-04,2012,4,1Bedroom,195808.0,10.9,Critico
CA,2012-05,2012,5,1Bedroom,196972.0,10.8,Critico
CA,2012-06,2012,6,1Bedroom,198462.0,10.7,Critico
CA,2012-07,2012,7,1Bedroom,200195.0,10.5,Critico
CA,2012-08,2012,8,1Bedroom,202267.0,10.3,Critico
CA,2012-09,2012,9,1Bedroom,204645.0,10.2,Critico
CA,2012-10,2012,10,1Bedroom,207728.0,10.0,Critico
CA,2012-11,2012,11,1Bedroom,210711.0,9.9,Critico
CA,2012-12,2012,12,1Bedroom,214514.0,9.8,Critico
CA,2013-01,2013,1,1Bedroom,218525.0,9.7,Critico
CA,2013-02,2013,2,1Bedroom,222985.0,9.5,Critico
CA,2013-03,2013,3,1Bedroom,228103.0,9.4,Critico
CA,2013-04,2013,4,1Bedroom,233753.0,9.3,Critico
CA,2013-05,2013,5,1Bedroom,239646.0,9.2,Critico
CA,2013-06,2013,6,1Bedroom,245550.0,9.1,Critico
CA,2013-07,2013,7,1Bedroom,251245.0,9.0,Critico
CA,2013-08,2013,8,1Bedroom,257136.0,8.9,Critico
CA,2013-09,2013,9,1Bedroom,262337.0,8.8,Critico
CA,2013-10,2013,10,1Bedroom,266748.0,8.6,Critico
CA,2013-11,2013,11,1Bedroom,270527.0,8.5,Critico
CA,2013-12,2013,12,1Bedroom,273867.0,8.4,Critico
CA,2014-01,2014,1,1Bedroom,277177.0,8.2,Critico
CA,2014-02,2014,2,1Bedroom,280132.0,8.1,Critico
CA,2014-03,2014,3,1Bedroom,281918.0,8.0,Critico
CA,2014-04,2014,4,1Bedroom,283098.0,7.8,Critico
CA,2014-05,2014,5,1Bedroom,283762.0,7.7,Critico
CA,2014-06,2014,6,1Bedroom,284623.0,7.6,Critico
CA,2014-07,2014,7,1Bedroom,285995.0,7.5,Critico
CA,2014-08,2014,8,1Bedroom,286549.0,7.4,Critico
CA,2014-09,2014,9,1Bedroom,287566.0,7.3,Critico
CA,2014-10,2014,10,1Bedroom,288593.0,7.2,Critico
CA,2014-11,2014,11,1Bedroom,290847.0,7.1,Critico
CA,2014-12,2014,12,1Bedroom,292662.0,6.9,Critico
CA,2015-01,2015,1,1Bedroom,294318.0,6.8,Critico
CA,2015-02,2015,2,1Bedroom,296112.0,6.7,Critico
CA,2015-03,2015,3,1Bedroom,298937.0,6.6,Critico
CA,2015-04,2015,4,1Bedroom,301348.0,6.5,Critico
CA,2015-05,2015,5,1Bedroom,303892.0,6.4,Critico
CA,2015-06,2015,6,1Bedroom,305817.0,6.3,Critico
CA,2015-07,2015,7,1Bedroom,307731.0,6.2,Critico
CA,2015-08,2015,8,1Bedroom,309984.0,6.0,Critico
CA,2015-09,2015,9,1Bedroom,312606.0,5.9,Normal
CA,2015-10,2015,10,1Bedroom,315386.0,5.8,Normal
CA,2015-11,2015,11,1Bedroom,317520.0,5.8,Normal
CA,2015-12,2015,12,1Bedroom,320366.0,5.7,Normal
CA,2016-01,2016,1,1Bedroom,323219.0,5.7,Normal
CA,2016-02,2016,2,1Bedroom,325795.0,5.6,Normal
CA,2016-03,2016,3,1Bedroom,327198.0,5.6,Normal
CA,2016-04,2016,4,1Bedroom,329244.0,5.5,Normal
CA,2016-05,2016,5,1Bedroom,331129.0,5.5,Normal
CA,2016-06,2016,6,1Bedroom,333316.0,5.5,Normal
CA,2016-07,2016,7,1Bedroom,335050.0,5.5,Normal
CA,2016-08,2016,8,1Bedroom,337480.0,5.5,Normal
CA,2016-09,2016,9,1Bedroom,339668.0,5.5,Normal
CA,2016-10,2016,10,1Bedroom,342248.0,5.5,Normal
CA,2016-11,2016,11,1Bedroom,344326.0,5.4,Normal
CA,2016-12,2016,12,1Bedroom,346140.0,5.4,Normal
CA,2017-01,2017,1,1Bedroom,347962.0,5.2,Normal
CA,2017-02,2017,2,1Bedroom,349887.0,5.1,Normal
CA,2017-03,2017,3,1Bedroom,352344.0,5.0,Normal
CA,2017-04,2017,4,1Bedroom,354451.0,5.0,Normal
CA,2017-05,2017,5,1Bedroom,357152.0,4.9,Normal
CA,2017-06,2017,6,1Bedroom,359975.0,4.9,Normal
CA,2017-07,2017,7,1Bedroom,362670.0,4.8,Normal
