estado,fecha,promedio_dias
California,2010-01,108.0
Texas,2010-01,121.0
New York,2010-01,188.0
Florida,2010-01,161.0
Illinois,2010-01,174.0
Pennsylvania,2010-01,138.0
Ohio,2010-01,137.0
Michigan,2010-01,137.0
Georgia,2010-01,159.0
North Carolina,2010-01,170.0
New Jersey,2010-01,176.0
Virginia,2010-01,128.0
Washington,2010-01,130.0
Massachusetts,2010-01,147.0
Indiana,2010-01,135.0
Arizona,2010-01,114.0
Tennessee,2010-01,157.0
Missouri,2010-01,114.0
Maryland,2010-01,165.0
Wisconsin,2010-01,165.0
Minnesota,2010-01,151.0
Colorado,2010-01,138.5
Alabama,2010-01,165.0
South Carolina,2010-01,178.5
Louisiana,2010-01,141.0
Kentucky,2010-01,115.0
Oregon,2010-01,139.0
Oklahoma,2010-01,123.0
Connecticut,2010-01,152.0
Iowa,2010-01,136.5
Mississippi,2010-01,136.0
Arkansas,2010-01,121.0
Kansas,2010-01,119.0
Utah,2010-01,143.0
Nevada,2010-01,122.0
New Mexico,2010-01,150.0
West Virginia,2010-01,154.0
Nebraska,2010-01,123.0
Idaho,2010-01,139.0
Hawaii,2010-01,137.0
Maine,2010-01,131.0
New Hampshire,2010-01,118.0
Rhode Island,2010-01,133.0
Montana,2010-01,127.0
Delaware,2010-01,142.0
South Dakota,2010-01,
Alaska,2010-01,129.0
North Dakota,2010-01,118.0
Vermont,2010-01,181.0
District of Columbia,2010-01,128.0
Wyoming,2010-01,85.0
Puerto Rico,2010-01,
California,2010-02,115.0
Texas,2010-02,123.0
New York,2010-02,194.0
Florida,2010-02,156.0
Illinois,2010-02,178.0
Pennsylvania,2010-02,150.0
Ohio,2010-02,152.0
Michigan,2010-02,140.0
Georgia,2010-02,161.0
North Carolina,2010-02,168.0
New Jersey,2010-02,179.0
Virginia,2010-02,133.0
Washington,2010-02,140.0
Massachusetts,2010-02,158.0
Indiana,2010-02,130.0
Arizona,2010-02,118.0
Tennessee,2010-02,151.0
Missouri,2010-02,123.0
Maryland,2010-02,172.0
Wisconsin,2010-02,167.0
Minnesota,2010-02,151.0
Colorado,2010-02,147.0
Alabama,2010-02,150.0
South Carolina,2010-02,166.0
Louisiana,2010-02,133.0
Kentucky,2010-02,125.0
Oregon,2010-02,147.0
Oklahoma,2010-02,127.0
Connecticut,2010-02,160.0
Iowa,2010-02,146.0
Mississippi,2010-02,118.0
Arkansas,2010-02,130.0
Kansas,2010-02,122.0
Utah,2010-02,147.0
Nevada,2010-02,128.0
New Mexico,2010-02,150.0
West Virginia,2010-02,173.0
Nebraska,2010-02,132.0
Idaho,2010-02,158.5
Hawaii,2010-02,151.0
Maine,2010-02,139.0
New Hampshire,2010-02,141.0
Rhode Island,2010-02,159.0
Montana,2010-02,132.5
Delaware,2010-02,154.0
South Dakota,2010-02,
Alaska,2010-02,146.0
North Dakota,2010-02,125.0
Vermont,2010-02,227.0
District of Columbia,2010-02,147.0
Wyoming,2010-02,89.5
Puerto Rico,2010-02,
California,2010-03,107.0
Texas,2010-03,122.0
New York,2010-03,192.0
Florida,2010-03,153.0
Illinois,2010-03,178.0
Pennsylvania,2010-03,151.0
Ohio,2010-03,151.0
Michigan,2010-03,139.0
Georgia,2010-03,163.0
North Carolina,2010-03,167.0
New Jersey,2010-03,181.0
Virginia,2010-03,138.0
Washington,2010-03,144.0
Massachusetts,2010-03,153.0
Indiana,2010-03,135.0
Arizona,2010-03,124.0
Tennessee,2010-03,155.0
Missouri,2010-03,129.0
Maryland,2010-03,177.0
Wisconsin,2010-03,169.0
Minnesota,2010-03,151.0
Colorado,2010-03,138.0
Alabama,2010-03,166.0
South Carolina,2010-03,172.0
Louisiana,2010-03,135.0
Kentucky,2010-03,139.0
Oregon,2010-03,156.0
Oklahoma,2010-03,128.0
Connecticut,2010-03,166.0
Iowa,2010-03,159.0
Mississippi,2010-03,137.0
Arkansas,2010-03,130.0
Kansas,2010-03,131.0
Utah,2010-03,140.0
Nevada,2010-03,136.0
New Mexico,2010-03,143.0
West Virginia,2010-03,162.0
Nebraska,2010-03,145.0
Idaho,2010-03,142.5
Hawaii,2010-03,127.0
Maine,2010-03,157.5
New Hampshire,2010-03,136.0
Rhode Island,2010-03,162.5
Montana,2010-03,140.0
Delaware,2010-03,170.0
South Dakota,2010-03,
Alaska,2010-03,163.0
North Dakota,2010-03,131.0
Vermont,2010-03,207.5
District of Columbia,2010-03,137.5
Wyoming,2010-03,97.0
Puerto Rico,2010-03,
California,2010-04,102.0
Texas,2010-04,111.0
New York,2010-04,184.0
Florida,2010-04,157.0
Illinois,2010-04,180.0
Pennsylvania,2010-04,151.0
Ohio,2010-04,149.0
Michigan,2010-04,144.0
Georgia,2010-04,158.0
North Carolina,2010-04,174.0
New Jersey,2010-04,188.0
Virginia,2010-04,124.0
Washington,2010-04,134.0
Massachusetts,2010-04,153.0
Indiana,2010-04,137.0
Arizona,2010-04,123.0
Tennessee,2010-04,156.0
Missouri,2010-04,119.0
Maryland,2010-04,159.0
Wisconsin,2010-04,168.0
Minnesota,2010-04,149.0
Colorado,2010-04,125.0
Alabama,2010-04,173.0
South Carolina,2010-04,167.0
Louisiana,2010-04,139.0
Kentucky,2010-04,141.0
Oregon,2010-04,150.0
Oklahoma,2010-04,124.0
Connecticut,2010-04,159.0
Iowa,2010-04,144.0
Mississippi,2010-04,135.0
Arkansas,2010-04,142.0
Kansas,2010-04,110.0
Utah,2010-04,134.0
Nevada,2010-04,125.0
New Mexico,2010-04,139.0
West Virginia,2010-04,164.0
Nebraska,2010-04,124.0
Idaho,2010-04,146.0
Hawaii,2010-04,149.0
Maine,2010-04,173.0
New Hampshire,2010-04,161.0
Rhode Island,2010-04,154.0
Montana,2010-04,125.0
Delaware,2010-04,148.0
South Dakota,2010-04,
Alaska,2010-04,111.0
North Dakota,2010-04,153.0
Vermont,2010-04,271.0
District of Columbia,2010-04,110.5
Wyoming,2010-04,92.0
Puerto Rico,2010-04,
California,2010-05,89.0
Texas,2010-05,98.0
New York,2010-05,180.0
Florida,2010-05,151.0
Illinois,2010-05,161.0
Pennsylvania,2010-05,122.0
Ohio,2010-05,122.0
Michigan,2010-05,124.0
Georgia,2010-05,152.0
North Carolina,2010-05,142.0
New Jersey,2010-05,179.0
Virginia,2010-05,101.0
Washington,2010-05,111.0
Massachusetts,2010-05,117.0
Indiana,2010-05,128.0
Arizona,2010-05,111.0
Tennessee,2010-05,138.0
Missouri,2010-05,107.0
Maryland,2010-05,142.0
Wisconsin,2010-05,156.0
Minnesota,2010-05,125.0
Colorado,2010-05,107.0
Alabama,2010-05,150.0
South Carolina,2010-05,140.0
Louisiana,2010-05,116.0
Kentucky,2010-05,115.0
Oregon,2010-05,118.0
Oklahoma,2010-05,103.0
Connecticut,2010-05,143.0
Iowa,2010-05,108.0
Mississippi,2010-05,116.0
Arkansas,2010-05,131.0
Kansas,2010-05,93.0
Utah,2010-05,130.0
Nevada,2010-05,118.5
New Mexico,2010-05,122.0
West Virginia,2010-05,145.0
Nebraska,2010-05,110.0
Idaho,2010-05,132.0
Hawaii,2010-05,96.0
Maine,2010-05,151.0
New Hampshire,2010-05,133.0
Rhode Island,2010-05,122.5
Montana,2010-05,122.0
Delaware,2010-05,129.5
South Dakota,2010-05,
Alaska,2010-05,95.0
North Dakota,2010-05,136.0
Vermont,2010-05,227.0
District of Columbia,2010-05,94.0
Wyoming,2010-05,91.0
Puerto Rico,2010-05,
California,2010-06,91.0
Texas,2010-06,99.0
New York,2010-06,135.0
Florida,2010-06,130.0
Illinois,2010-06,129.0
Pennsylvania,2010-06,112.0
Ohio,2010-06,110.0
Michigan,2010-06,115.0
Georgia,2010-06,126.0
North Carolina,2010-06,125.0
New Jersey,2010-06,138.0
Virginia,2010-06,97.0
Washington,2010-06,106.0
Massachusetts,2010-06,110.0
Indiana,2010-06,123.0
Arizona,2010-06,108.0
Tennessee,2010-06,121.0
Missouri,2010-06,106.0
Maryland,2010-06,113.0
Wisconsin,2010-06,120.0
Minnesota,2010-06,119.0
Colorado,2010-06,106.0
Alabama,2010-06,119.0
South Carolina,2010-06,118.0
Louisiana,2010-06,104.0
Kentucky,2010-06,122.0
Oregon,2010-06,118.0
Oklahoma,2010-06,103.0
Connecticut,2010-06,115.0
Iowa,2010-06,105.0
Mississippi,2010-06,115.0
Arkansas,2010-06,117.0
