Date,house_price_index,population,gdp,mortgage_rate,employment_rate,ppi_res,m3,cci,delinquency_rate,hcai
1987-01-01,63.965,241857,-0.04687286367764903,9.204,70.16308505,100.0,2.7439,100.4624,3.9849465240641715,8.981894736842106
1987-02-01,64.424,242005,-0.07086756192406139,9.0825,70.28920495,100.4,2.7475,100.4945,3.9849465240641715,8.981894736842106
1987-03-01,64.735,242166,-0.07632603383717855,9.035,70.32167787,100.7,2.7537,100.572,3.9849465240641715,8.981894736842106
1987-04-01,65.132,242338,-0.06532703289807967,9.8325,70.49906164,101.1,2.7677,100.6568,3.9849465240641715,8.981894736842106
1987-05-01,65.565,242516,-0.040144020155563426,10.596,70.80830806,101.3,2.7729,100.6919,3.9849465240641715,8.981894736842106
1987-06-01,66.073,242706,-0.0012165567584425062,10.5375,70.5857077,101.5,2.7746,100.7686,3.9849465240641715,8.981894736842106
1987-07-01,66.508,242908,0.05392458545799249,10.278,70.79351785,102.0,2.779,100.8778,3.9849465240641715,8.981894736842106
1987-08-01,66.939,243118,0.12727666379927852,10.33,70.99908919,102.3,2.7882,100.8828,3.9849465240641715,8.981894736842106
1987-09-01,67.331,243335,0.2158933595756964,10.8875,70.91544754,102.9,2.7995,100.6881,3.9849465240641715,8.981894736842106
1987-10-01,67.738,243543,0.3061602794511763,11.26,71.10611082,103.0,2.8148,100.3227,3.9849465240641715,8.981894736842106
1987-11-01,68.107,243724,0.38225551923994966,10.65,71.16438776,103.3,2.8189,100.0337,3.9849465240641715,8.981894736842106
1987-12-01,68.506,243895,0.4345500115298646,10.64,71.29550445,103.4,2.8264,100.1095,3.9849465240641715,8.981894736842106
1988-01-01,68.859,244056,0.46906537366306744,10.3825,71.32077175,103.9,2.8474,100.3865,3.9849465240641715,8.981894736842106
1988-02-01,69.263,244205,0.49776719947922365,9.8925,71.379813,104.1,2.8704,100.6399,3.9849465240641715,8.981894736842106
1988-03-01,69.639,244362,0.5302317570546643,9.93,71.27074357,104.5,2.8907,100.8116,3.9849465240641715,8.981894736842106
1988-04-01,69.977,244528,0.5658643638190717,10.202,71.52921613,105.0,2.9107,100.8577,3.9849465240641715,8.981894736842106
1988-05-01,70.426,244708,0.6002519569017708,10.455,71.33103539,105.2,2.926,100.9552,3.9849465240641715,8.981894736842106
1988-06-01,70.888,244914,0.6313689294043972,10.46,71.58933195,105.6,2.9384,101.0271,3.9849465240641715,8.981894736842106
1988-07-01,71.354,245131,0.6659598845159069,10.432,71.68153101,106.1,2.9472,101.0987,3.9849465240641715,8.981894736842106
1988-08-01,71.799,245352,0.7135475786754374,10.5975,71.80118925,106.0,2.952,101.2135,3.9849465240641715,8.981894736842106
1988-09-01,72.24,245579,0.7803372248921211,10.48,71.81210948,106.3,2.9569,101.1973,3.9849465240641715,8.981894736842106
1988-10-01,72.636,245789,0.8623185666956114,10.3025,71.93679438,106.4,2.9653,101.0484,3.9849465240641715,8.981894736842106
1988-11-01,73.072,245970,0.9505282713013882,10.265,72.03517113,106.8,2.9802,100.9406,3.9849465240641715,8.981894736842106
1988-12-01,73.465,246140,1.0353174158977894,10.612,72.10745366,107.0,2.9882,100.9688,3.9849465240641715,8.981894736842106
1989-01-01,73.947,246301,1.110290513983723,10.73,72.27703066,107.6,2.9917,101.1181,3.9849465240641715,8.981894736842106
1989-02-01,74.383,246454,1.171245610994237,10.645,72.30408515,108.5,2.9922,101.0967,3.9849465240641715,8.981894736842106
