region,date,price,rent,property_type,year,roi
California,2010-02-01,231512.0,1202.2916666666667,1Bedroom,2010,16.04657771616704
California,2010-03-01,230640.0,1202.2916666666667,1Bedroom,2010,15.986137584474093
California,2010-04-01,230508.0,1202.2916666666667,1Bedroom,2010,15.976988390226998
California,2010-05-01,230649.0,1202.2916666666667,1Bedroom,2010,15.986761393172758
California,2010-06-01,229228.0,1202.2916666666667,1Bedroom,2010,15.888268930861202
California,2010-07-01,227264.0,1202.2916666666667,1Bedroom,2010,15.75214001039681
California,2010-08-01,225162.0,1202.2916666666667,1Bedroom,2010,15.606446023219545
California,2010-09-01,223295.0,1202.2916666666667,1Bedroom,2010,15.477040374285219
California,2010-10-01,221244.0,1195.0,1Bedroom,2010,15.428451882845188
California,2010-11-01,218563.0,1200.0,1Bedroom,2010,15.17798611111111
California,2010-12-01,216192.0,1215.5,1Bedroom,2010,14.821883998354586
California,2011-01-01,214229.0,1195.0,1Bedroom,2011,14.93926080892608
California,2011-02-01,212749.0,1200.0,1Bedroom,2011,14.77423611111111
California,2011-03-01,210900.0,1200.0,1Bedroom,2011,14.645833333333334
California,2011-04-01,208812.0,1200.0,1Bedroom,2011,14.500833333333333
California,2011-05-01,206043.0,1215.0,1Bedroom,2011,14.131893004115227
California,2011-06-01,204318.0,1200.0,1Bedroom,2011,14.188749999999999
California,2011-07-01,202940.0,1222.5,1Bedroom,2011,13.83367416496251
California,2011-08-01,201518.0,1250.0,1Bedroom,2011,13.434533333333334
California,2011-09-01,199927.0,1250.0,1Bedroom,2011,13.328466666666666
California,2011-10-01,198290.0,1195.0,1Bedroom,2011,13.827754532775453
California,2011-11-01,197676.0,1150.0,1Bedroom,2011,14.324347826086957
California,2011-12-01,196752.0,1150.0,1Bedroom,2011,14.257391304347827
California,2012-01-01,196095.0,1195.0,1Bedroom,2012,13.67468619246862
California,2012-02-01,195513.0,1200.0,1Bedroom,2012,13.577291666666667
California,2012-03-01,195422.0,1265.0,1Bedroom,2012,12.87364953886693
California,2012-04-01,195808.0,1250.0,1Bedroom,2012,13.053866666666666
California,2012-05-01,196972.0,1245.0,1Bedroom,2012,13.184203480589021
California,2012-06-01,198462.0,1250.0,1Bedroom,2012,13.2308
California,2012-07-01,200195.0,1250.0,1Bedroom,2012,13.346333333333334
California,2012-08-01,202267.0,1290.0,1Bedroom,2012,13.066343669250648
California,2012-09-01,204645.0,1315.0,1Bedroom,2012,12.968631178707225
California,2012-10-01,207728.0,1310.0,1Bedroom,2012,13.214249363867685
California,2012-11-01,210711.0,1325.0,1Bedroom,2012,13.252264150943397
California,2012-12-01,214514.0,1299.0,1Bedroom,2012,13.761483192199128
California,2013-01-01,218525.0,1270.0,1Bedroom,2013,14.338910761154857
California,2013-02-01,222985.0,1299.0,1Bedroom,2013,14.304914036438285
California,2013-03-01,228103.0,1330.0,1Bedroom,2013,14.292167919799498
California,2013-04-01,233753.0,1298.0,1Bedroom,2013,15.007254750898818
California,2013-05-01,239646.0,1295.0,1Bedroom,2013,15.421235521235522
California,2013-06-01,245550.0,1255.0,1Bedroom,2013,16.304780876494025
California,2013-07-01,251245.0,1250.0,1Bedroom,2013,16.749666666666666
California,2013-08-01,257136.0,1250.0,1Bedroom,2013,17.1424
California,2013-09-01,262337.0,1300.0,1Bedroom,2013,16.816474358974357
California,2013-10-01,266748.0,1345.0,1Bedroom,2013,16.5271375464684
California,2013-11-01,270527.0,1250.0,1Bedroom,2013,18.035133333333334
California,2013-12-01,273867.0,1392.5,1Bedroom,2013,16.389407540394973
California,2014-01-01,277177.0,1400.0,1Bedroom,2014,16.498630952380953
California,2014-02-01,280132.0,1345.0,1Bedroom,2014,17.35638166047088
California,2014-03-01,281918.0,1320.0,1Bedroom,2014,17.797853535353536
California,2014-04-01,283098.0,1384.5,1Bedroom,2014,17.03972553268328
California,2014-05-01,283762.0,1495.0,1Bedroom,2014,15.817279821627649
California,2014-06-01,284623.0,1495.0,1Bedroom,2014,15.865273132664436
California,2014-07-01,285995.0,1495.0,1Bedroom,2014,15.9417502787068
California,2014-08-01,286549.0,1525.0,1Bedroom,2014,15.65841530054645
California,2014-09-01,287566.0,1572.5,1Bedroom,2014,15.239321674615793
California,2014-10-01,288593.0,1600.0,1Bedroom,2014,15.030885416666665
California,2014-11-01,290847.0,1610.0,1Bedroom,2014,15.05419254658385
California,2014-12-01,292662.0,1625.0,1Bedroom,2014,15.00830769230769
California,2015-01-01,294318.0,1620.0,1Bedroom,2015,15.139814814814814
California,2015-02-01,296112.0,1665.0,1Bedroom,2015,14.82042042042042
California,2015-03-01,298937.0,1665.0,1Bedroom,2015,14.961811811811812
California,2015-04-01,301348.0,1678.5,1Bedroom,2015,14.961175652864661
California,2015-05-01,303892.0,1697.0,1Bedroom,2015,14.923001374975447
California,2015-06-01,305817.0,1700.0,1Bedroom,2015,14.991029411764707
California,2015-07-01,307731.0,1705.0,1Bedroom,2015,15.040615835777126
California,2015-08-01,309984.0,1735.0,1Bedroom,2015,14.888760806916425
California,2015-09-01,312606.0,1750.0,1Bedroom,2015,14.886000000000001
California,2015-10-01,315386.0,1750.0,1Bedroom,2015,15.018380952380951
California,2015-11-01,317520.0,1795.0,1Bedroom,2015,14.740947075208913
California,2015-12-01,320366.0,1795.0,1Bedroom,2015,14.873073351903436
California,2016-01-01,323219.0,1830.0,1Bedroom,2016,14.71853369763206
California,2016-02-01,325795.0,1860.0,1Bedroom,2016,14.59655017921147
California,2016-03-01,327198.0,1890.0,1Bedroom,2016,14.426719576719577
California,2016-04-01,329244.0,1855.0,1Bedroom,2016,14.790835579514825
California,2016-05-01,331129.0,1850.0,1Bedroom,2016,14.91572072072072
California,2016-06-01,333316.0,1845.0,1Bedroom,2016,15.054923215898825
California,2016-07-01,335050.0,1895.0,1Bedroom,2016,14.733948988566404
California,2016-08-01,337480.0,1800.0,1Bedroom,2016,15.624074074074073
California,2016-09-01,339668.0,1850.0,1Bedroom,2016,15.30036036036036
California,2016-10-01,342248.0,1795.0,1Bedroom,2016,15.888950789229341
California,2016-11-01,344326.0,1795.0,1Bedroom,2016,15.985422469823584
California,2016-12-01,346140.0,1795.0,1Bedroom,2016,16.069637883008358
California,2017-01-01,347962.0,1865.0,1Bedroom,2017,15.547899910634497
California,2017-02-01,349887.0,1900.0,1Bedroom,2017,15.34592105263158
California,2017-03-01,352344.0,1922.0,1Bedroom,2017,15.276795005202914
California,2017-04-01,354451.0,1950.0,1Bedroom,2017,15.147478632478633
California,2017-05-01,357152.0,1950.0,1Bedroom,2017,15.262905982905982
California,2017-06-01,359975.0,1950.0,1Bedroom,2017,15.38354700854701
California,2017-07-01,362670.0,1950.0,1Bedroom,2017,15.498717948717948
California,2017-08-01,365062.0,1948.0,1Bedroom,2017,15.6169575633128
California,2017-09-01,367865.0,1945.0,1Bedroom,2017,15.761139674378748
California,2017-10-01,370874.0,1950.0,1Bedroom,2017,15.84931623931624
California,2017-11-01,374540.0,1945.0,1Bedroom,2017,16.0471293916024
California,2017-12-01,378244.0,1928.0,1Bedroom,2017,16.34872060857538
California,2018-01-01,382025.0,1925.0,1Bedroom,2018,16.53787878787879
California,2018-02-01,385668.0,1949.5,1Bedroom,2018,16.485765580918184
California,2018-03-01,389104.0,1950.0,1Bedroom,2018,16.628376068376067
California,2018-04-01,392012.0,1975.0,1Bedroom,2018,16.540590717299576
California,2018-05-01,394170.0,2020.0,1Bedroom,2018,16.261138613861387
California,2018-06-01,396119.0,2035.0,1Bedroom,2018,16.221089271089273
California,2018-07-01,397999.0,2050.0,1Bedroom,2018,16.178821138211383
California,2018-08-01,399637.0,2075.0,1Bedroom,2018,16.049678714859436
California,2018-09-01,400481.0,2050.0,1Bedroom,2018,16.27971544715447
California,2018-10-01,401239.0,2055.0,1Bedroom,2018,16.270843471208433
California,2018-11-01,401731.0,2085.0,1Bedroom,2018,16.056394884092725
California,2018-12-01,401450.0,2075.0,1Bedroom,2018,16.122489959839356
California,2019-01-01,400621.0,2056.0,1Bedroom,2019,16.237880998702984
California,2019-02-01,399605.0,2080.0,1Bedroom,2019,16.009815705128204
California,2019-03-01,399031.0,2095.0,1Bedroom,2019,15.872354813046938
California,2019-04-01,399124.0,2100.0,1Bedroom,2019,15.838253968253968
California,2019-05-01,399290.0,2105.0,1Bedroom,2019,15.80720506730008
California,2019-06-01,399503.0,2125.0,1Bedroom,2019,15.666784313725492
California,2019-07-01,399949.0,2150.0,1Bedroom,2019,15.501899224806202
California,2019-08-01,400604.0,2150.0,1Bedroom,2019,15.527286821705426
California,2019-09-01,401758.0,2150.0,1Bedroom,2019,15.572015503875969
California,2019-10-01,402858.0,2110.0,1Bedroom,2019,15.910663507109005
California,2019-11-01,404068.0,2100.0,1Bedroom,2019,16.034444444444443
California,2019-12-01,406004.0,2100.0,1Bedroom,2019,16.11126984126984
Texas,2010-02-01,72289.0,800.0,1Bedroom,2010,7.530104166666667
Texas,2010-03-01,72080.0,800.0,1Bedroom,2010,7.508333333333333
Texas,2010-04-01,71875.0,875.0,1Bedroom,2010,6.845238095238095
Texas,2010-05-01,71719.0,850.0,1Bedroom,2010,7.0312745098039215
Texas,2010-06-01,71442.0,850.0,1Bedroom,2010,7.004117647058823
Texas,2010-07-01,70993.0,895.0,1Bedroom,2010,6.610148975791433
Texas,2010-08-01,70591.0,800.0,1Bedroom,2010,7.353229166666666
Texas,2010-09-01,70245.0,750.0,1Bedroom,2010,7.805
Texas,2010-10-01,69999.0,795.5,1Bedroom,2010,7.332809553739786
Texas,2010-11-01,69685.0,825.0,1Bedroom,2010,7.038888888888889
Texas,2010-12-01,69383.0,794.5,1Bedroom,2010,7.277428151877491
Texas,2011-01-01,69069.0,793.0,1Bedroom,2011,7.258196721311475
Texas,2011-02-01,68648.0,800.0,1Bedroom,2011,7.150833333333334
Texas,2011-03-01,68187.0,796.0,1Bedroom,2011,7.138505025125628
Texas,2011-04-01,67794.0,799.0,1Bedroom,2011,7.070713391739674
Texas,2011-05-01,67473.0,795.0,1Bedroom,2011,7.072641509433962
Texas,2011-06-01,67252.0,820.0,1Bedroom,2011,6.834552845528456
Texas,2011-07-01,67127.0,822.0,1Bedroom,2011,6.805251419302515
Texas,2011-08-01,67184.0,757.0,1Bedroom,2011,7.3958608542492295
Texas,2011-09-01,67271.0,781.0,1Bedroom,2011,7.177870251813914
Texas,2011-10-01,67349.0,732.0,1Bedroom,2011,7.667235883424408
Texas,2011-11-01,67299.0,722.0,1Bedroom,2011,7.767659279778393
Texas,2011-12-01,67253.0,740.0,1Bedroom,2011,7.573536036036036
Texas,2012-01-01,67204.0,755.0,1Bedroom,2012,7.417660044150111
Texas,2012-02-01,67286.0,793.0,1Bedroom,2012,7.070828079024801
Texas,2012-03-01,67433.0,810.0,1Bedroom,2012,6.937551440329218
Texas,2012-04-01,67490.0,785.0,1Bedroom,2012,7.1645435244161355
Texas,2012-05-01,67569.0,795.0,1Bedroom,2012,7.0827044025157235
Texas,2012-06-01,67751.0,800.0,1Bedroom,2012,7.0573958333333335
Texas,2012-07-01,68083.0,795.0,1Bedroom,2012,7.136582809224318
Texas,2012-08-01,68269.0,809.0,1Bedroom,2012,7.032241450350226
Texas,2012-09-01,68365.0,825.0,1Bedroom,2012,6.905555555555555
Texas,2012-10-01,68481.0,785.0,1Bedroom,2012,7.269745222929937
Texas,2012-11-01,68712.0,825.0,1Bedroom,2012,6.9406060606060604
Texas,2012-12-01,69039.0,847.0,1Bedroom,2012,6.79250295159386
Texas,2013-01-01,69432.0,830.0,1Bedroom,2013,6.9710843373493985
Texas,2013-02-01,69886.0,829.0,1Bedroom,2013,7.025130679533575
Texas,2013-03-01,70439.0,825.0,1Bedroom,2013,7.115050505050505
Texas,2013-04-01,71107.0,850.0,1Bedroom,2013,6.971274509803922
Texas,2013-05-01,71747.0,849.0,1Bedroom,2013,7.042304672163329
Texas,2013-06-01,72191.0,865.0,1Bedroom,2013,6.9548169556840085
Texas,2013-07-01,72654.0,875.0,1Bedroom,2013,6.919428571428572
Texas,2013-08-01,73172.0,854.0,1Bedroom,2013,7.140124902419984
Texas,2013-09-01,73856.0,928.0,1Bedroom,2013,6.6321839080459775
Texas,2013-10-01,74437.0,946.0,1Bedroom,2013,6.557170542635659
Texas,2013-11-01,75003.0,969.0,1Bedroom,2013,6.450206398348814
Texas,2013-12-01,75429.0,945.0,1Bedroom,2013,6.651587301587302
Texas,2014-01-01,75954.0,959.0,1Bedroom,2014,6.600104275286757
Texas,2014-02-01,76500.0,938.0,1Bedroom,2014,6.79637526652452
Texas,2014-03-01,76946.0,950.0,1Bedroom,2014,6.749649122807018
Texas,2014-04-01,77340.0,971.0,1Bedroom,2014,6.637487126673533
Texas,2014-05-01,77716.0,935.0,1Bedroom,2014,6.926559714795009
Texas,2014-06-01,78366.0,942.0,1Bedroom,2014,6.932590233545647
Texas,2014-07-01,78839.0,928.0,1Bedroom,2014,7.07965158045977
Texas,2014-08-01,79432.0,919.0,1Bedroom,2014,7.202756619513964
Texas,2014-09-01,79901.0,920.0,1Bedroom,2014,7.237409420289855
Texas,2014-10-01,80445.0,930.0,1Bedroom,2014,7.208333333333333
Texas,2014-11-01,81046.0,950.0,1Bedroom,2014,7.109298245614035
Texas,2014-12-01,81722.0,937.0,1Bedroom,2014,7.268054073283529
Texas,2015-01-01,82381.0,929.0,1Bedroom,2015,7.3897560100466455
Texas,2015-02-01,82877.0,929.0,1Bedroom,2015,7.4342482956584135
Texas,2015-03-01,83426.0,915.0,1Bedroom,2015,7.59799635701275
Texas,2015-04-01,83954.0,945.0,1Bedroom,2015,7.4033509700176365
Texas,2015-05-01,84526.0,949.0,1Bedroom,2015,7.422374429223744
Texas,2015-06-01,84973.0,950.0,1Bedroom,2015,7.453771929824562
Texas,2015-07-01,85454.0,959.0,1Bedroom,2015,7.425616962113312
Texas,2015-08-01,85963.0,965.0,1Bedroom,2015,7.423402417962003
Texas,2015-09-01,86523.0,979.0,1Bedroom,2015,7.364913176710929
Texas,2015-10-01,87192.0,977.0,1Bedroom,2015,7.437052200614125
Texas,2015-11-01,87584.0,1043.0,1Bedroom,2015,6.997762863534676
Texas,2015-12-01,87959.0,1039.0,1Bedroom,2015,7.054780237407765
Texas,2016-01-01,88291.0,1050.0,1Bedroom,2016,7.0072222222222225
Texas,2016-02-01,88858.0,1025.0,1Bedroom,2016,7.224227642276422
Texas,2016-03-01,89479.0,1064.0,1Bedroom,2016,7.008067042606516
