id_Estado,Estado,Fecha,Personas en riesgo de pobreza,% Riesgo Pobreza
AL,Alabama,2020,727.0,14.9
AL,Alabama,2019,627.0,12.9
AL,Alabama,2018,779.0,16.0
AL,Alabama,2017,735.0,15.3
AL,Alabama,2016,782.0,16.2
AL,Alabama,2015,784.0,16.3
AL,Alabama,2014,848.0,17.8
AL,Alabama,2013,891.0,18.5
AL,Alabama,2012,777.0,16.2
AL,Alabama,2011,732.0,15.4
AL,Alabama,2010,812.0,17.2
AL,Alabama,2009,770.0,16.6
AL,Alabama,2008,675.0,14.3
AL,Alabama,2007,662.0,14.5
AL,Alabama,2006,650.0,14.3
AL,Alabama,2005,750.0,16.7
AL,Alabama,2004,762.0,16.9
AL,Alabama,2003,663.0,15.0
AL,Alabama,2002,640.0,14.5
AL,Alabama,2001,696.0,15.9
AL,Alabama,2000,583.0,13.3
AL,Alabama,1999,668.0,15.2
AL,Alabama,1998,609.0,14.5
AL,Alabama,1997,665.0,15.7
AL,Alabama,1996,595.0,14.0
AL,Alabama,1995,882.0,20.1
AL,Alabama,1994,704.0,16.4
AL,Alabama,1993,725.0,17.4
AL,Alabama,1992,729.0,17.3
AL,Alabama,1991,786.0,18.8
AL,Alabama,1990,779.0,19.2
AL,Alabama,1989,770.0,18.9
AL,Alabama,1988,775.0,19.3
AL,Alabama,1987,851.0,21.3
AL,Alabama,1986,959.0,23.8
AL,Alabama,1985,821.0,20.6
AL,Alabama,1984,738.0,19.1
AL,Alabama,1983,909.0,23.0
AL,Alabama,1982,849.0,21.6
AL,Alabama,1981,935.0,24.1
AL,Alabama,1980,810.0,21.2
AK,Alaska,2020,94.0,13.3
AK,Alaska,2019,72.0,10.2
AK,Alaska,2018,94.0,13.1
AK,Alaska,2017,87.0,12.1
AK,Alaska,2016,89.0,12.6
AK,Alaska,2015,65.0,9.2
AK,Alaska,2014,82.0,11.9
AK,Alaska,2013,67.0,9.7
AK,Alaska,2012,70.0,10.0
AK,Alaska,2011,83.0,11.7
AK,Alaska,2010,87.0,12.5
AK,Alaska,2009,81.0,11.7
AK,Alaska,2008,55.0,8.2
AK,Alaska,2007,51.0,7.6
AK,Alaska,2006,58.0,8.9
AK,Alaska,2005,66.0,10.0
AK,Alaska,2004,59.0,9.1
AK,Alaska,2003,62.0,9.6
AK,Alaska,2002,56.0,8.8
AK,Alaska,2001,54.0,8.5
AK,Alaska,2000,47.0,7.6
AK,Alaska,1999,48.0,7.6
AK,Alaska,1998,60.0,9.4
AK,Alaska,1997,56.0,8.8
AK,Alaska,1996,54.0,8.2
AK,Alaska,1995,45.0,7.1
AK,Alaska,1994,61.0,10.2
AK,Alaska,1993,52.0,9.1
AK,Alaska,1992,58.0,10.2
AK,Alaska,1991,62.0,11.8
AK,Alaska,1990,57.0,11.4
AK,Alaska,1989,51.0,10.5
AK,Alaska,1988,53.0,11.0
AK,Alaska,1987,60.0,12.0
AK,Alaska,1986,59.0,11.4
AK,Alaska,1985,45.0,8.7
AK,Alaska,1984,49.0,9.6
AK,Alaska,1983,61.0,12.6
AK,Alaska,1982,46.0,10.6
AK,Alaska,1981,36.0,9.0
AK,Alaska,1980,36.0,9.6
AZ,Arizona,2020,807.0,10.8
AZ,Arizona,2019,725.0,9.9
AZ,Arizona,2018,929.0,12.8
AZ,Arizona,2017,951.0,13.6
AZ,Arizona,2016,1.108,16.1
AZ,Arizona,2015,1.156,17.2
AZ,Arizona,2014,1.409,21.2
AZ,Arizona,2013,1.163,17.8
AZ,Arizona,2012,1.26,19.0
AZ,Arizona,2011,1.128,17.2
AZ,Arizona,2010,1.208,18.8
AZ,Arizona,2009,1.381,21.2
AZ,Arizona,2008,1.172,18.0
AZ,Arizona,2007,912.0,14.3
AZ,Arizona,2006,902.0,14.4
AZ,Arizona,2005,917.0,15.2
AZ,Arizona,2004,830.0,14.4
AZ,Arizona,2003,749.0,13.5
AZ,Arizona,2002,735.0,13.5
AZ,Arizona,2001,778.0,14.6
AZ,Arizona,2000,607.0,11.7
AZ,Arizona,1999,616.0,12.2
AZ,Arizona,1998,812.0,16.6
AZ,Arizona,1997,797.0,17.2
AZ,Arizona,1996,980.0,20.5
AZ,Arizona,1995,700.0,16.1
AZ,Arizona,1994,673.0,15.9
AZ,Arizona,1993,615.0,15.4
AZ,Arizona,1992,607.0,15.8
AZ,Arizona,1991,532.0,14.8
AZ,Arizona,1990,484.0,13.7
AZ,Arizona,1989,502.0,14.1
AZ,Arizona,1988,491.0,14.1
AZ,Arizona,1987,444.0,12.8
AZ,Arizona,1986,484.0,14.3
AZ,Arizona,1985,345.0,10.7
AZ,Arizona,1984,569.0,18.2
AZ,Arizona,1983,469.0,16.3
AZ,Arizona,1982,408.0,14.8
AZ,Arizona,1981,323.0,11.7
AZ,Arizona,1980,354.0,12.8
AR,Arkansas,2020,422.0,14.2
AR,Arkansas,2019,412.0,14.1
AR,Arkansas,2018,462.0,15.9
AR,Arkansas,2017,436.0,14.9
AR,Arkansas,2016,471.0,16.0
AR,Arkansas,2015,475.0,16.1
AR,Arkansas,2014,532.0,18.4
AR,Arkansas,2013,395.0,13.9
AR,Arkansas,2012,584.0,20.1
AR,Arkansas,2011,545.0,18.7
AR,Arkansas,2010,440.0,15.3
AR,Arkansas,2009,538.0,18.9
AR,Arkansas,2008,431.0,15.3
AR,Arkansas,2007,387.0,13.8
AR,Arkansas,2006,487.0,17.7
AR,Arkansas,2005,382.0,13.8
AR,Arkansas,2004,412.0,15.1
AR,Arkansas,2003,474.0,17.8
AR,Arkansas,2002,532.0,19.8
AR,Arkansas,2001,472.0,17.8
AR,Arkansas,2000,436.0,16.5
AR,Arkansas,1999,384.0,14.7
AR,Arkansas,1998,377.0,14.7
AR,Arkansas,1997,515.0,19.7
AR,Arkansas,1996,449.0,17.2
AR,Arkansas,1995,376.0,14.9
AR,Arkansas,1994,369.0,15.3
AR,Arkansas,1993,484.0,20.0
AR,Arkansas,1992,430.0,17.5
AR,Arkansas,1991,425.0,17.3
AR,Arkansas,1990,472.0,19.6
AR,Arkansas,1989,442.0,18.3
AR,Arkansas,1988,527.0,21.6
AR,Arkansas,1987,537.0,21.8
AR,Arkansas,1986,499.0,21.3
AR,Arkansas,1985,541.0,22.9
AR,Arkansas,1984,564.0,23.9
AR,Arkansas,1983,492.0,21.5
AR,Arkansas,1982,527.0,23.8
AR,Arkansas,1981,541.0,24.1
AR,Arkansas,1980,484.0,21.5
CA,California,2020,4.318,11.0
CA,California,2019,3.98,10.1
CA,California,2018,4.664,11.9
CA,California,2017,4.759,12.1
CA,California,2016,5.435,13.9
CA,California,2015,5.441,13.9
CA,California,2014,6.112,15.8
CA,California,2013,5.754,15.1
CA,California,2012,6.015,15.9
CA,California,2011,6.352,16.9
CA,California,2010,6.073,16.3
CA,California,2009,5.638,15.3
CA,California,2008,5.344,14.6
CA,California,2007,4.589,12.7
CA,California,2006,4.427,12.2
CA,California,2005,4.716,13.2
CA,California,2004,4.724,13.2
CA,California,2003,4.634,13.1
CA,California,2002,4.605,13.1
CA,California,2001,4.321,12.6
CA,California,2000,4.294,12.7
CA,California,1999,4.733,14.0
