Estado,Año,Mes,Tasa de desempleo,Fecha,Clasificacion
Alaska,2010,12,8.0,2010-12,Critico
Alaska,2010,11,8.1,2010-11,Critico
Alaska,2010,10,8.0,2010-10,Critico
Alaska,2010,09,8.0,2010-09,Critico
Alaska,2010,08,7.9,2010-08,Critico
Alaska,2010,07,7.9,2010-07,Critico
Alaska,2010,06,8.0,2010-06,Critico
Alaska,2010,05,8.2,2010-05,Critico
Alaska,2010,04,8.3,2010-04,Critico
Alaska,2010,03,8.4,2010-03,Critico
Alaska,2010,02,8.4,2010-02,Critico
Alaska,2010,01,8.4,2010-01,Critico
Alaska,2011,12,7.5,2011-12,Critico
Alaska,2011,11,7.6,2011-11,Critico
Alaska,2011,10,7.7,2011-10,Critico
Alaska,2011,09,7.7,2011-09,Critico
Alaska,2011,08,7.7,2011-08,Critico
Alaska,2011,07,7.7,2011-07,Critico
Alaska,2011,06,7.7,2011-06,Critico
Alaska,2011,05,7.7,2011-05,Critico
Alaska,2011,04,7.8,2011-04,Critico
Alaska,2011,03,7.8,2011-03,Critico
Alaska,2011,02,7.9,2011-02,Critico
Alaska,2011,01,8.0,2011-01,Critico
Alaska,2012,12,7.1,2012-12,Critico
Alaska,2012,11,7.1,2012-11,Critico
Alaska,2012,10,7.1,2012-10,Critico
Alaska,2012,09,7.1,2012-09,Critico
Alaska,2012,08,7.2,2012-08,Critico
Alaska,2012,07,7.2,2012-07,Critico
Alaska,2012,06,7.3,2012-06,Critico
Alaska,2012,05,7.3,2012-05,Critico
Alaska,2012,04,7.3,2012-04,Critico
Alaska,2012,03,7.4,2012-03,Critico
Alaska,2012,02,7.4,2012-02,Critico
Alaska,2012,01,7.5,2012-01,Critico
Alaska,2013,12,6.9,2013-12,Critico
Alaska,2013,11,6.9,2013-11,Critico
Alaska,2013,10,7.0,2013-10,Critico
Alaska,2013,09,7.0,2013-09,Critico
Alaska,2013,08,7.0,2013-08,Critico
Alaska,2013,07,7.0,2013-07,Critico
Alaska,2013,06,7.0,2013-06,Critico
Alaska,2013,05,7.0,2013-05,Critico
Alaska,2013,04,7.0,2013-04,Critico
Alaska,2013,03,7.0,2013-03,Critico
Alaska,2013,02,7.0,2013-02,Critico
Alaska,2013,01,7.1,2013-01,Critico
Alaska,2014,12,6.3,2014-12,Critico
Alaska,2014,11,6.4,2014-11,Critico
Alaska,2014,10,6.5,2014-10,Critico
Alaska,2014,09,6.7,2014-09,Critico
Alaska,2014,08,6.8,2014-08,Critico
Alaska,2014,07,6.8,2014-07,Critico
Alaska,2014,06,6.9,2014-06,Critico
Alaska,2014,05,6.9,2014-05,Critico
Alaska,2014,04,6.9,2014-04,Critico
Alaska,2014,03,6.9,2014-03,Critico
Alaska,2014,02,6.9,2014-02,Critico
Alaska,2014,01,6.9,2014-01,Critico
Alaska,2015,12,6.4,2015-12,Critico
Alaska,2015,11,6.3,2015-11,Critico
Alaska,2015,10,6.3,2015-10,Critico
Alaska,2015,09,6.2,2015-09,Critico
Alaska,2015,08,6.2,2015-08,Critico
Alaska,2015,07,6.2,2015-07,Critico
Alaska,2015,06,6.3,2015-06,Critico
Alaska,2015,05,6.3,2015-05,Critico
Alaska,2015,04,6.3,2015-04,Critico
Alaska,2015,03,6.3,2015-03,Critico
Alaska,2015,02,6.3,2015-02,Critico
Alaska,2015,01,6.2,2015-01,Critico
Alaska,2016,12,6.7,2016-12,Critico
Alaska,2016,11,6.7,2016-11,Critico
Alaska,2016,10,6.7,2016-10,Critico
Alaska,2016,09,6.7,2016-09,Critico
Alaska,2016,08,6.7,2016-08,Critico
Alaska,2016,07,6.6,2016-07,Critico
Alaska,2016,06,6.6,2016-06,Critico
Alaska,2016,05,6.6,2016-05,Critico
Alaska,2016,04,6.5,2016-04,Critico
Alaska,2016,03,6.5,2016-03,Critico
Alaska,2016,02,6.5,2016-02,Critico
Alaska,2016,01,6.4,2016-01,Critico
Alaska,2017,12,6.4,2017-12,Critico
Alaska,2017,11,6.5,2017-11,Critico
Alaska,2017,10,6.5,2017-10,Critico
Alaska,2017,09,6.5,2017-09,Critico
Alaska,2017,08,6.5,2017-08,Critico
Alaska,2017,07,6.5,2017-07,Critico
Alaska,2017,06,6.5,2017-06,Critico
Alaska,2017,05,6.5,2017-05,Critico
Alaska,2017,04,6.5,2017-04,Critico
Alaska,2017,03,6.5,2017-03,Critico
Alaska,2017,02,6.6,2017-02,Critico
Alaska,2017,01,6.6,2017-01,Critico
Alaska,2018,12,5.9,2018-12,Normal
Alaska,2018,11,5.9,2018-11,Normal
Alaska,2018,10,5.9,2018-10,Normal
Alaska,2018,09,5.8,2018-09,Normal
Alaska,2018,08,5.8,2018-08,Normal
Alaska,2018,07,5.9,2018-07,Normal
Alaska,2018,06,5.9,2018-06,Normal
Alaska,2018,05,5.9,2018-05,Normal
Alaska,2018,04,6.0,2018-04,Critico
Alaska,2018,03,6.1,2018-03,Critico
Alaska,2018,02,6.2,2018-02,Critico
Alaska,2018,01,6.3,2018-01,Critico
Alaska,2019,12,5.2,2019-12,Normal
Alaska,2019,11,5.2,2019-11,Normal
Alaska,2019,10,5.3,2019-10,Normal
Alaska,2019,09,5.4,2019-09,Normal
Alaska,2019,08,5.5,2019-08,Normal
Alaska,2019,07,5.5,2019-07,Normal
Alaska,2019,06,5.5,2019-06,Normal
Alaska,2019,05,5.5,2019-05,Normal
Alaska,2019,04,5.5,2019-04,Normal
Alaska,2019,03,5.6,2019-03,Normal
Alaska,2019,02,5.7,2019-02,Normal
Alaska,2019,01,5.8,2019-01,Normal
Alabama,2010,12,10.1,2010-12,Critico
Alabama,2010,11,10.2,2010-11,Critico
Alabama,2010,10,10.1,2010-10,Critico
Alabama,2010,09,10.1,2010-09,Critico
Alabama,2010,08,10.0,2010-08,Critico
Alabama,2010,07,10.1,2010-07,Critico
Alabama,2010,06,10.1,2010-06,Critico
Alabama,2010,05,10.3,2010-05,Critico
Alabama,2010,04,10.5,2010-04,Critico
Alabama,2010,03,10.9,2010-03,Critico
Alabama,2010,02,11.0,2010-02,Critico
Alabama,2010,01,11.1,2010-01,Critico
Alabama,2011,12,8.7,2011-12,Critico
Alabama,2011,11,8.9,2011-11,Critico
Alabama,2011,10,9.2,2011-10,Critico
Alabama,2011,09,9.4,2011-09,Critico
Alabama,2011,08,9.6,2011-08,Critico
Alabama,2011,07,9.7,2011-07,Critico
Alabama,2011,06,9.8,2011-06,Critico
Alabama,2011,05,9.8,2011-05,Critico
Alabama,2011,04,9.9,2011-04,Critico
Alabama,2011,03,9.9,2011-03,Critico
Alabama,2011,02,10.0,2011-02,Critico
Alabama,2011,01,10.1,2011-01,Critico
Alabama,2012,12,7.7,2012-12,Critico
Alabama,2012,11,7.8,2012-11,Critico
Alabama,2012,10,7.8,2012-10,Critico
Alabama,2012,09,7.9,2012-09,Critico
Alabama,2012,08,8.1,2012-08,Critico
Alabama,2012,07,8.2,2012-07,Critico
Alabama,2012,06,8.3,2012-06,Critico
Alabama,2012,05,8.4,2012-05,Critico
Alabama,2012,04,8.4,2012-04,Critico
Alabama,2012,03,8.4,2012-03,Critico
Alabama,2012,02,8.4,2012-02,Critico
Alabama,2012,01,8.5,2012-01,Critico
Alabama,2013,12,7.2,2013-12,Critico
Alabama,2013,11,7.2,2013-11,Critico
Alabama,2013,10,7.2,2013-10,Critico
Alabama,2013,09,7.2,2013-09,Critico
Alabama,2013,08,7.2,2013-08,Critico
Alabama,2013,07,7.2,2013-07,Critico
Alabama,2013,06,7.3,2013-06,Critico
Alabama,2013,05,7.3,2013-05,Critico
Alabama,2013,04,7.4,2013-04,Critico
Alabama,2013,03,7.5,2013-03,Critico
Alabama,2013,02,7.6,2013-02,Critico
Alabama,2013,01,7.6,2013-01,Critico
Alabama,2014,12,6.2,2014-12,Critico
Alabama,2014,11,6.3,2014-11,Critico
Alabama,2014,10,6.4,2014-10,Critico
Alabama,2014,09,6.5,2014-09,Critico
Alabama,2014,08,6.6,2014-08,Critico
Alabama,2014,07,6.7,2014-07,Critico
Alabama,2014,06,6.8,2014-06,Critico
Alabama,2014,05,6.9,2014-05,Critico
Alabama,2014,04,7.0,2014-04,Critico
Alabama,2014,03,7.1,2014-03,Critico
Alabama,2014,02,7.1,2014-02,Critico
Alabama,2014,01,7.2,2014-01,Critico
Alabama,2015,12,6.1,2015-12,Critico
Alabama,2015,11,6.1,2015-11,Critico
Alabama,2015,10,6.1,2015-10,Critico
Alabama,2015,09,6.1,2015-09,Critico
Alabama,2015,08,6.2,2015-08,Critico
Alabama,2015,07,6.2,2015-07,Critico
Alabama,2015,06,6.2,2015-06,Critico
Alabama,2015,05,6.1,2015-05,Critico
Alabama,2015,04,6.1,2015-04,Critico
Alabama,2015,03,6.1,2015-03,Critico
Alabama,2015,02,6.1,2015-02,Critico
Alabama,2015,01,6.1,2015-01,Critico
Alabama,2016,12,5.7,2016-12,Normal
Alabama,2016,11,5.8,2016-11,Normal
Alabama,2016,10,5.9,2016-10,Normal
Alabama,2016,09,5.9,2016-09,Normal
Alabama,2016,08,5.9,2016-08,Normal
