region,date,price,rent,property_type,roi
California,2010-02,231512.0,,1Bedroom,
California,2010-03,230640.0,,1Bedroom,
California,2010-04,230508.0,,1Bedroom,
California,2010-05,230649.0,,1Bedroom,
California,2010-06,229228.0,,1Bedroom,
California,2010-07,227264.0,,1Bedroom,
California,2010-08,225162.0,,1Bedroom,
California,2010-09,223295.0,,1Bedroom,
California,2010-10,221244.0,1195.0,1Bedroom,185.14142259414226
California,2010-11,218563.0,1200.0,1Bedroom,182.13583333333332
California,2010-12,216192.0,1215.5,1Bedroom,177.86260798025504
California,2011-01,214229.0,1195.0,1Bedroom,179.27112970711298
California,2011-02,212749.0,1200.0,1Bedroom,177.29083333333332
California,2011-03,210900.0,1200.0,1Bedroom,175.75
California,2011-04,208812.0,1200.0,1Bedroom,174.01
California,2011-05,206043.0,1215.0,1Bedroom,169.58271604938273
California,2011-06,204318.0,1200.0,1Bedroom,170.265
California,2011-07,202940.0,1222.5,1Bedroom,166.00408997955012
California,2011-08,201518.0,1250.0,1Bedroom,161.2144
California,2011-09,199927.0,1250.0,1Bedroom,159.9416
California,2011-10,198290.0,1195.0,1Bedroom,165.93305439330544
California,2011-11,197676.0,1150.0,1Bedroom,171.89217391304348
California,2011-12,196752.0,1150.0,1Bedroom,171.08869565217393
California,2012-01,196095.0,1195.0,1Bedroom,164.09623430962344
California,2012-02,195513.0,1200.0,1Bedroom,162.9275
California,2012-03,195422.0,1265.0,1Bedroom,154.48379446640317
California,2012-04,195808.0,1250.0,1Bedroom,156.6464
California,2012-05,196972.0,1245.0,1Bedroom,158.21044176706826
California,2012-06,198462.0,1250.0,1Bedroom,158.7696
California,2012-07,200195.0,1250.0,1Bedroom,160.156
California,2012-08,202267.0,1290.0,1Bedroom,156.79612403100776
California,2012-09,204645.0,1315.0,1Bedroom,155.6235741444867
California,2012-10,207728.0,1310.0,1Bedroom,158.5709923664122
California,2012-11,210711.0,1325.0,1Bedroom,159.02716981132076
California,2012-12,214514.0,1299.0,1Bedroom,165.13779830638953
California,2013-01,218525.0,1270.0,1Bedroom,172.06692913385828
California,2013-02,222985.0,1299.0,1Bedroom,171.65896843725943
California,2013-03,228103.0,1330.0,1Bedroom,171.50601503759398
California,2013-04,233753.0,1298.0,1Bedroom,180.08705701078583
California,2013-05,239646.0,1295.0,1Bedroom,185.05482625482625
California,2013-06,245550.0,1255.0,1Bedroom,195.65737051792829
California,2013-07,251245.0,1250.0,1Bedroom,200.996
California,2013-08,257136.0,1250.0,1Bedroom,205.7088
California,2013-09,262337.0,1300.0,1Bedroom,201.7976923076923
California,2013-10,266748.0,1345.0,1Bedroom,198.3256505576208
California,2013-11,270527.0,1250.0,1Bedroom,216.4216
California,2013-12,273867.0,1392.5,1Bedroom,196.67289048473967
California,2014-01,277177.0,1400.0,1Bedroom,197.98357142857142
California,2014-02,280132.0,1345.0,1Bedroom,208.27657992565057
California,2014-03,281918.0,1320.0,1Bedroom,213.5742424242424
California,2014-04,283098.0,1384.5,1Bedroom,204.47670639219936
California,2014-05,283762.0,1495.0,1Bedroom,189.80735785953178
California,2014-06,284623.0,1495.0,1Bedroom,190.38327759197324
California,2014-07,285995.0,1495.0,1Bedroom,191.30100334448161
California,2014-08,286549.0,1525.0,1Bedroom,187.9009836065574
California,2014-09,287566.0,1572.5,1Bedroom,182.8718600953895
California,2014-10,288593.0,1600.0,1Bedroom,180.370625
California,2014-11,290847.0,1610.0,1Bedroom,180.65031055900621
California,2014-12,292662.0,1625.0,1Bedroom,180.0996923076923
California,2015-01,294318.0,1620.0,1Bedroom,181.67777777777778
California,2015-02,296112.0,1665.0,1Bedroom,177.84504504504505
California,2015-03,298937.0,1665.0,1Bedroom,179.54174174174173
California,2015-04,301348.0,1678.5,1Bedroom,179.53410783437593
California,2015-05,303892.0,1697.0,1Bedroom,179.07601649970536
California,2015-06,305817.0,1700.0,1Bedroom,179.89235294117648
California,2015-07,307731.0,1705.0,1Bedroom,180.48739002932552
California,2015-08,309984.0,1735.0,1Bedroom,178.6651296829971
California,2015-09,312606.0,1750.0,1Bedroom,178.632
California,2015-10,315386.0,1750.0,1Bedroom,180.22057142857142
California,2015-11,317520.0,1795.0,1Bedroom,176.89136490250695
California,2015-12,320366.0,1795.0,1Bedroom,178.47688022284123
California,2016-01,323219.0,1830.0,1Bedroom,176.6224043715847
California,2016-02,325795.0,1860.0,1Bedroom,175.15860215053763
California,2016-03,327198.0,1890.0,1Bedroom,173.12063492063493
California,2016-04,329244.0,1855.0,1Bedroom,177.4900269541779
California,2016-05,331129.0,1850.0,1Bedroom,178.98864864864865
California,2016-06,333316.0,1845.0,1Bedroom,180.6590785907859
California,2016-07,335050.0,1895.0,1Bedroom,176.80738786279684
California,2016-08,337480.0,1800.0,1Bedroom,187.48888888888888
California,2016-09,339668.0,1850.0,1Bedroom,183.60432432432432
California,2016-10,342248.0,1795.0,1Bedroom,190.6674094707521
California,2016-11,344326.0,1795.0,1Bedroom,191.82506963788302
California,2016-12,346140.0,1795.0,1Bedroom,192.83565459610028
California,2017-01,347962.0,1865.0,1Bedroom,186.57479892761395
California,2017-02,349887.0,1900.0,1Bedroom,184.15105263157895
California,2017-03,352344.0,1922.0,1Bedroom,183.32154006243496
California,2017-04,354451.0,1950.0,1Bedroom,181.7697435897436
California,2017-05,357152.0,1950.0,1Bedroom,183.15487179487178
California,2017-06,359975.0,1950.0,1Bedroom,184.60256410256412
California,2017-07,362670.0,1950.0,1Bedroom,185.98461538461538
California,2017-08,365062.0,1948.0,1Bedroom,187.4034907597536
California,2017-09,367865.0,1945.0,1Bedroom,189.133676092545
California,2017-10,370874.0,1950.0,1Bedroom,190.19179487179488
California,2017-11,374540.0,1945.0,1Bedroom,192.5655526992288
California,2017-12,378244.0,1928.0,1Bedroom,196.18464730290455
California,2018-01,382025.0,1925.0,1Bedroom,198.45454545454547
California,2018-02,385668.0,1949.5,1Bedroom,197.8291869710182
California,2018-03,389104.0,1950.0,1Bedroom,199.54051282051282
California,2018-04,392012.0,1975.0,1Bedroom,198.48708860759493
California,2018-05,394170.0,2020.0,1Bedroom,195.13366336633663
California,2018-06,396119.0,2035.0,1Bedroom,194.65307125307126
California,2018-07,397999.0,2050.0,1Bedroom,194.1458536585366
California,2018-08,399637.0,2075.0,1Bedroom,192.59614457831324
California,2018-09,400481.0,2050.0,1Bedroom,195.35658536585365
California,2018-10,401239.0,2055.0,1Bedroom,195.2501216545012
California,2018-11,401731.0,2085.0,1Bedroom,192.6767386091127
California,2018-12,401450.0,2075.0,1Bedroom,193.46987951807228
California,2019-01,400621.0,2056.0,1Bedroom,194.8545719844358
California,2019-02,399605.0,2080.0,1Bedroom,192.11778846153845
California,2019-03,399031.0,2095.0,1Bedroom,190.46825775656325
California,2019-04,399124.0,2100.0,1Bedroom,190.05904761904762
California,2019-05,399290.0,2105.0,1Bedroom,189.68646080760095
California,2019-06,399503.0,2125.0,1Bedroom,188.0014117647059
California,2019-07,399949.0,2150.0,1Bedroom,186.02279069767442
California,2019-08,400604.0,2150.0,1Bedroom,186.32744186046511
California,2019-09,401758.0,2150.0,1Bedroom,186.86418604651163
California,2019-10,402858.0,2110.0,1Bedroom,190.92796208530805
California,2019-11,404068.0,2100.0,1Bedroom,192.41333333333333
California,2019-12,406004.0,2100.0,1Bedroom,193.33523809523808
Texas,2010-02,72289.0,800.0,1Bedroom,90.36125
Texas,2010-03,72080.0,800.0,1Bedroom,90.1
Texas,2010-04,71875.0,875.0,1Bedroom,82.14285714285714
Texas,2010-05,71719.0,850.0,1Bedroom,84.37529411764706
Texas,2010-06,71442.0,850.0,1Bedroom,84.04941176470588
Texas,2010-07,70993.0,895.0,1Bedroom,79.3217877094972
Texas,2010-08,70591.0,800.0,1Bedroom,88.23875
Texas,2010-09,70245.0,750.0,1Bedroom,93.66
Texas,2010-10,69999.0,795.5,1Bedroom,87.99371464487743
Texas,2010-11,69685.0,825.0,1Bedroom,84.46666666666667
Texas,2010-12,69383.0,794.5,1Bedroom,87.32913782252989
Texas,2011-01,69069.0,793.0,1Bedroom,87.09836065573771
Texas,2011-02,68648.0,800.0,1Bedroom,85.81
Texas,2011-03,68187.0,796.0,1Bedroom,85.66206030150754
Texas,2011-04,67794.0,799.0,1Bedroom,84.84856070087609
Texas,2011-05,67473.0,795.0,1Bedroom,84.87169811320754
Texas,2011-06,67252.0,820.0,1Bedroom,82.01463414634146
Texas,2011-07,67127.0,822.0,1Bedroom,81.66301703163018
Texas,2011-08,67184.0,757.0,1Bedroom,88.75033025099076
Texas,2011-09,67271.0,781.0,1Bedroom,86.13444302176697
Texas,2011-10,67349.0,732.0,1Bedroom,92.0068306010929
Texas,2011-11,67299.0,722.0,1Bedroom,93.21191135734072
Texas,2011-12,67253.0,740.0,1Bedroom,90.88243243243244
Texas,2012-01,67204.0,755.0,1Bedroom,89.01192052980133
Texas,2012-02,67286.0,793.0,1Bedroom,84.84993694829761
Texas,2012-03,67433.0,810.0,1Bedroom,83.25061728395062
Texas,2012-04,67490.0,785.0,1Bedroom,85.97452229299363
Texas,2012-05,67569.0,795.0,1Bedroom,84.99245283018868
Texas,2012-06,67751.0,800.0,1Bedroom,84.68875
Texas,2012-07,68083.0,795.0,1Bedroom,85.63899371069182
Texas,2012-08,68269.0,809.0,1Bedroom,84.38689740420271
Texas,2012-09,68365.0,825.0,1Bedroom,82.86666666666666
Texas,2012-10,68481.0,785.0,1Bedroom,87.23694267515924
Texas,2012-11,68712.0,825.0,1Bedroom,83.28727272727272
Texas,2012-12,69039.0,847.0,1Bedroom,81.51003541912632
Texas,2013-01,69432.0,830.0,1Bedroom,83.65301204819278
Texas,2013-02,69886.0,829.0,1Bedroom,84.3015681544029
Texas,2013-03,70439.0,825.0,1Bedroom,85.38060606060606
Texas,2013-04,71107.0,850.0,1Bedroom,83.65529411764706
Texas,2013-05,71747.0,849.0,1Bedroom,84.50765606595995
Texas,2013-06,72191.0,865.0,1Bedroom,83.4578034682081
Texas,2013-07,72654.0,875.0,1Bedroom,83.03314285714286
Texas,2013-08,73172.0,854.0,1Bedroom,85.68149882903981
Texas,2013-09,73856.0,928.0,1Bedroom,79.58620689655173
Texas,2013-10,74437.0,946.0,1Bedroom,78.68604651162791
Texas,2013-11,75003.0,969.0,1Bedroom,77.40247678018576
Texas,2013-12,75429.0,945.0,1Bedroom,79.81904761904762
Texas,2014-01,75954.0,959.0,1Bedroom,79.20125130344108
Texas,2014-02,76500.0,938.0,1Bedroom,81.55650319829424
Texas,2014-03,76946.0,950.0,1Bedroom,80.99578947368421
Texas,2014-04,77340.0,971.0,1Bedroom,79.6498455200824
Texas,2014-05,77716.0,935.0,1Bedroom,83.11871657754011
Texas,2014-06,78366.0,942.0,1Bedroom,83.19108280254777
Texas,2014-07,78839.0,928.0,1Bedroom,84.95581896551724
Texas,2014-08,79432.0,919.0,1Bedroom,86.43307943416757
Texas,2014-09,79901.0,920.0,1Bedroom,86.84891304347826
Texas,2014-10,80445.0,930.0,1Bedroom,86.5
Texas,2014-11,81046.0,950.0,1Bedroom,85.31157894736842
Texas,2014-12,81722.0,937.0,1Bedroom,87.21664887940234
Texas,2015-01,82381.0,929.0,1Bedroom,88.67707212055974
Texas,2015-02,82877.0,929.0,1Bedroom,89.21097954790096
Texas,2015-03,83426.0,915.0,1Bedroom,91.175956284153
Texas,2015-04,83954.0,945.0,1Bedroom,88.84021164021163
Texas,2015-05,84526.0,949.0,1Bedroom,89.06849315068493
Texas,2015-06,84973.0,950.0,1Bedroom,89.44526315789474
Texas,2015-07,85454.0,959.0,1Bedroom,89.10740354535974
Texas,2015-08,85963.0,965.0,1Bedroom,89.08082901554404
Texas,2015-09,86523.0,979.0,1Bedroom,88.37895812053115
Texas,2015-10,87192.0,977.0,1Bedroom,89.2446264073695
Texas,2015-11,87584.0,1043.0,1Bedroom,83.97315436241611
Texas,2015-12,87959.0,1039.0,1Bedroom,84.65736284889317
Texas,2016-01,88291.0,1050.0,1Bedroom,84.08666666666667
Texas,2016-02,88858.0,1025.0,1Bedroom,86.69073170731707
Texas,2016-03,89479.0,1064.0,1Bedroom,84.0968045112782
Texas,2016-04,90139.0,1041.0,1Bedroom,86.58885686839578
Texas,2016-05,90835.0,1035.0,1Bedroom,87.76328502415458
Texas,2016-06,91540.0,1027.0,1Bedroom,89.1333982473223
Texas,2016-07,92360.0,1013.0,1Bedroom,91.17472852912142
Texas,2016-08,92938.0,1017.0,1Bedroom,91.38446411012782
Texas,2016-09,93545.0,1040.0,1Bedroom,89.94711538461539
Texas,2016-10,94134.0,994.0,1Bedroom,94.70221327967806
Texas,2016-11,95069.0,979.0,1Bedroom,97.10827374872319
Texas,2016-12,96047.0,969.0,1Bedroom,99.11971104231166
Texas,2017-01,96795.0,1025.0,1Bedroom,94.43414634146342
Texas,2017-02,97405.0,1045.0,1Bedroom,93.21052631578948
Texas,2017-03,97926.0,1059.0,1Bedroom,92.47025495750708
Texas,2017-04,98498.0,1075.0,1Bedroom,91.6260465116279
Texas,2017-05,99071.0,1095.0,1Bedroom,90.47579908675799
Texas,2017-06,99643.0,1095.0,1Bedroom,90.99817351598173
Texas,2017-07,100256.0,1093.0,1Bedroom,91.72552607502287
Texas,2017-08,100740.0,1100.0,1Bedroom,91.58181818181818
