ID_Estado,Estado
CA,California
TX,Texas
NY,New York
FL,Florida
IL,Illinois
PA,Pennsylvania
OH,Ohio
MI,Michigan
GA,Georgia
NC,North Carolina
NJ,New Jersey
VA,Virginia
WA,Washington
MA,Massachusetts
IN,Indiana
AZ,Arizona
TN,Tennessee
MO,Missouri
MD,Maryland
WI,Wisconsin
MN,Minnesota
CO,Colorado
AL,Alabama
SC,South Carolina
LA,Louisiana
KY,Kentucky
OR,Oregon
OK,Oklahoma
CT,Connecticut
IA,Iowa
MS,Mississippi
AR,Arkansas
KS,Kansas
UT,Utah
NV,Nevada
NM,New Mexico
WV,West Virginia
NE,Nebraska
ID,Idaho
HI,Hawaii
ME,Maine
NH,New Hampshire
RI,Rhode Island
MT,Montana
DE,Delaware
SD,South Dakota
AK,Alaska
ND,North Dakota
VT,Vermont
WT,Wyoming
