Estado,Año,Mes,Tasa de desempleo
Alaska,2010,Diciembre,8.0
Alaska,2010,Noviembre,8.1
Alaska,2010,Octubre,8.0
Alaska,2010,Septiembre,8.0
Alaska,2010,Agosto,7.9
Alaska,2010,Julio,7.9
Alaska,2010,Junio,8.0
Alaska,2010,Mayo,8.2
Alaska,2010,Abril,8.3
Alaska,2010,Marzo,8.4
Alaska,2010,Febrero,8.4
Alaska,2010,Enero,8.4
Alaska,2011,Diciembre,7.5
Alaska,2011,Noviembre,7.6
Alaska,2011,Octubre,7.7
Alaska,2011,Septiembre,7.7
Alaska,2011,Agosto,7.7
Alaska,2011,Julio,7.7
Alaska,2011,Junio,7.7
Alaska,2011,Mayo,7.7
Alaska,2011,Abril,7.8
Alaska,2011,Marzo,7.8
Alaska,2011,Febrero,7.9
Alaska,2011,Enero,8.0
Alaska,2012,Diciembre,7.1
Alaska,2012,Noviembre,7.1
Alaska,2012,Octubre,7.1
Alaska,2012,Septiembre,7.1
Alaska,2012,Agosto,7.2
Alaska,2012,Julio,7.2
Alaska,2012,Junio,7.3
Alaska,2012,Mayo,7.3
Alaska,2012,Abril,7.3
Alaska,2012,Marzo,7.4
Alaska,2012,Febrero,7.4
Alaska,2012,Enero,7.5
Alaska,2013,Diciembre,6.9
Alaska,2013,Noviembre,6.9
Alaska,2013,Octubre,7.0
Alaska,2013,Septiembre,7.0
Alaska,2013,Agosto,7.0
Alaska,2013,Julio,7.0
Alaska,2013,Junio,7.0
Alaska,2013,Mayo,7.0
Alaska,2013,Abril,7.0
Alaska,2013,Marzo,7.0
Alaska,2013,Febrero,7.0
Alaska,2013,Enero,7.1
Alaska,2014,Diciembre,6.3
Alaska,2014,Noviembre,6.4
Alaska,2014,Octubre,6.5
Alaska,2014,Septiembre,6.7
Alaska,2014,Agosto,6.8
Alaska,2014,Julio,6.8
Alaska,2014,Junio,6.9
Alaska,2014,Mayo,6.9
Alaska,2014,Abril,6.9
Alaska,2014,Marzo,6.9
Alaska,2014,Febrero,6.9
Alaska,2014,Enero,6.9
Alaska,2015,Diciembre,6.4
Alaska,2015,Noviembre,6.3
Alaska,2015,Octubre,6.3
Alaska,2015,Septiembre,6.2
Alaska,2015,Agosto,6.2
Alaska,2015,Julio,6.2
Alaska,2015,Junio,6.3
Alaska,2015,Mayo,6.3
Alaska,2015,Abril,6.3
Alaska,2015,Marzo,6.3
Alaska,2015,Febrero,6.3
Alaska,2015,Enero,6.2
Alaska,2016,Diciembre,6.7
Alaska,2016,Noviembre,6.7
Alaska,2016,Octubre,6.7
Alaska,2016,Septiembre,6.7
Alaska,2016,Agosto,6.7
Alaska,2016,Julio,6.6
Alaska,2016,Junio,6.6
Alaska,2016,Mayo,6.6
Alaska,2016,Abril,6.5
Alaska,2016,Marzo,6.5
Alaska,2016,Febrero,6.5
Alaska,2016,Enero,6.4
Alaska,2017,Diciembre,6.4
Alaska,2017,Noviembre,6.5
Alaska,2017,Octubre,6.5
Alaska,2017,Septiembre,6.5
Alaska,2017,Agosto,6.5
Alaska,2017,Julio,6.5
Alaska,2017,Junio,6.5
Alaska,2017,Mayo,6.5
Alaska,2017,Abril,6.5
Alaska,2017,Marzo,6.5
Alaska,2017,Febrero,6.6
Alaska,2017,Enero,6.6
Alaska,2018,Diciembre,5.9
Alaska,2018,Noviembre,5.9
Alaska,2018,Octubre,5.9
Alaska,2018,Septiembre,5.8
Alaska,2018,Agosto,5.8
Alaska,2018,Julio,5.9
Alaska,2018,Junio,5.9
Alaska,2018,Mayo,5.9
Alaska,2018,Abril,6.0
Alaska,2018,Marzo,6.1
Alaska,2018,Febrero,6.2
Alaska,2018,Enero,6.3
Alaska,2019,Diciembre,5.2
Alaska,2019,Noviembre,5.2
Alaska,2019,Octubre,5.3
Alaska,2019,Septiembre,5.4
Alaska,2019,Agosto,5.5
