Estado,Año,Mes,Tasa de desempleo
Alaska,2000,Diciembre,6.3
Alaska,2000,Noviembre,6.3
Alaska,2000,Octubre,6.4
Alaska,2000,Septiembre,6.4
Alaska,2000,Agosto,6.4
Alaska,2000,Julio,6.4
Alaska,2000,Junio,6.4
Alaska,2000,Mayo,6.3
Alaska,2000,Abril,6.3
Alaska,2000,Marzo,6.2
Alaska,2000,Febrero,6.2
Alaska,2000,Enero,6.2
Alaska,2001,Diciembre,6.7
Alaska,2001,Noviembre,6.6
Alaska,2001,Octubre,6.5
Alaska,2001,Septiembre,6.4
Alaska,2001,Agosto,6.3
Alaska,2001,Julio,6.2
Alaska,2001,Junio,6.1
Alaska,2001,Mayo,6.1
Alaska,2001,Abril,6.1
Alaska,2001,Marzo,6.1
Alaska,2001,Febrero,6.1
Alaska,2001,Enero,6.2
Alaska,2002,Diciembre,7.4
Alaska,2002,Noviembre,7.4
Alaska,2002,Octubre,7.3
Alaska,2002,Septiembre,7.3
Alaska,2002,Agosto,7.2
Alaska,2002,Julio,7.2
Alaska,2002,Junio,7.2
Alaska,2002,Mayo,7.2
Alaska,2002,Abril,7.1
Alaska,2002,Marzo,7.0
Alaska,2002,Febrero,6.9
Alaska,2002,Enero,6.8
Alaska,2003,Diciembre,7.6
Alaska,2003,Noviembre,7.7
Alaska,2003,Octubre,7.7
Alaska,2003,Septiembre,7.7
Alaska,2003,Agosto,7.8
Alaska,2003,Julio,7.8
Alaska,2003,Junio,7.8
Alaska,2003,Mayo,7.7
Alaska,2003,Abril,7.7
Alaska,2003,Marzo,7.6
Alaska,2003,Febrero,7.6
Alaska,2003,Enero,7.5
Alaska,2004,Diciembre,7.2
Alaska,2004,Noviembre,7.2
Alaska,2004,Octubre,7.2
Alaska,2004,Septiembre,7.3
Alaska,2004,Agosto,7.3
Alaska,2004,Julio,7.4
Alaska,2004,Junio,7.5
Alaska,2004,Mayo,7.5
Alaska,2004,Abril,7.6
Alaska,2004,Marzo,7.6
Alaska,2004,Febrero,7.6
Alaska,2004,Enero,7.6
Alaska,2005,Diciembre,7.0
Alaska,2005,Noviembre,7.0
Alaska,2005,Octubre,7.0
Alaska,2005,Septiembre,7.0
Alaska,2005,Agosto,6.9
Alaska,2005,Julio,6.8
Alaska,2005,Junio,6.8
Alaska,2005,Mayo,6.8
Alaska,2005,Abril,6.9
Alaska,2005,Marzo,6.9
Alaska,2005,Febrero,7.0
Alaska,2005,Enero,7.1
Alaska,2006,Diciembre,6.3
Alaska,2006,Noviembre,6.4
Alaska,2006,Octubre,6.5
Alaska,2006,Septiembre,6.5
Alaska,2006,Agosto,6.6
Alaska,2006,Julio,6.6
Alaska,2006,Junio,6.7
Alaska,2006,Mayo,6.7
Alaska,2006,Abril,6.7
Alaska,2006,Marzo,6.8
Alaska,2006,Febrero,6.9
Alaska,2006,Enero,6.9
Alaska,2007,Diciembre,6.2
Alaska,2007,Noviembre,6.3
Alaska,2007,Octubre,6.3
Alaska,2007,Septiembre,6.3
Alaska,2007,Agosto,6.3
Alaska,2007,Julio,6.3
Alaska,2007,Junio,6.3
Alaska,2007,Mayo,6.2
Alaska,2007,Abril,6.2
Alaska,2007,Marzo,6.2
Alaska,2007,Febrero,6.2
Alaska,2007,Enero,6.3
Alaska,2008,Diciembre,6.9
Alaska,2008,Noviembre,6.7
Alaska,2008,Octubre,6.6
Alaska,2008,Septiembre,6.6
Alaska,2008,Agosto,6.5
Alaska,2008,Julio,6.5
Alaska,2008,Junio,6.5
Alaska,2008,Mayo,6.4
Alaska,2008,Abril,6.3
Alaska,2008,Marzo,6.3
Alaska,2008,Febrero,6.2
Alaska,2008,Enero,6.2
Alaska,2009,Diciembre,8.4
Alaska,2009,Noviembre,8.3
Alaska,2009,Octubre,8.3
Alaska,2009,Septiembre,8.2
Alaska,2009,Agosto,8.2
Alaska,2009,Julio,8.1
Alaska,2009,Junio,8.1
Alaska,2009,Mayo,8.0
Alaska,2009,Abril,7.9
Alaska,2009,Marzo,7.7
Alaska,2009,Febrero,7.4
Alaska,2009,Enero,7.2
Alaska,2010,Diciembre,8.0
Alaska,2010,Noviembre,8.1
Alaska,2010,Octubre,8.0
Alaska,2010,Septiembre,8.0
Alaska,2010,Agosto,7.9
Alaska,2010,Julio,7.9
Alaska,2010,Junio,8.0
Alaska,2010,Mayo,8.2
Alaska,2010,Abril,8.3
Alaska,2010,Marzo,8.4
Alaska,2010,Febrero,8.4
Alaska,2010,Enero,8.4
Alabama,2000,Diciembre,4.7
Alabama,2000,Noviembre,4.6
Alabama,2000,Octubre,4.6
Alabama,2000,Septiembre,4.6
Alabama,2000,Agosto,4.6
Alabama,2000,Julio,4.6
Alabama,2000,Junio,4.6
Alabama,2000,Mayo,4.6
Alabama,2000,Abril,4.6
Alabama,2000,Marzo,4.6
Alabama,2000,Febrero,4.7
Alabama,2000,Enero,4.7
Alabama,2001,Diciembre,5.9
Alabama,2001,Noviembre,5.8
Alabama,2001,Octubre,5.6
Alabama,2001,Septiembre,5.4
Alabama,2001,Agosto,5.3
Alabama,2001,Julio,5.1
Alabama,2001,Junio,5.0
Alabama,2001,Mayo,4.9
Alabama,2001,Abril,4.9
Alabama,2001,Marzo,4.8
Alabama,2001,Febrero,4.8
Alabama,2001,Enero,4.7
Alabama,2002,Diciembre,5.9
Alabama,2002,Noviembre,5.9
Alabama,2002,Octubre,5.9
Alabama,2002,Septiembre,5.9
Alabama,2002,Agosto,5.9
Alabama,2002,Julio,5.9
Alabama,2002,Junio,5.9
Alabama,2002,Mayo,5.9
Alabama,2002,Abril,6.0
Alabama,2002,Marzo,6.0
Alabama,2002,Febrero,6.0
Alabama,2002,Enero,5.9
Alabama,2003,Diciembre,5.9
Alabama,2003,Noviembre,5.9
Alabama,2003,Octubre,6.0
Alabama,2003,Septiembre,6.0
Alabama,2003,Agosto,6.1
Alabama,2003,Julio,6.1
Alabama,2003,Junio,6.1
Alabama,2003,Mayo,6.0
Alabama,2003,Abril,6.0
Alabama,2003,Marzo,5.9
Alabama,2003,Febrero,5.9
Alabama,2003,Enero,5.9
Alabama,2004,Diciembre,5.1
Alabama,2004,Noviembre,5.2
Alabama,2004,Octubre,5.3
Alabama,2004,Septiembre,5.4
Alabama,2004,Agosto,5.5
Alabama,2004,Julio,5.6
Alabama,2004,Junio,5.7
Alabama,2004,Mayo,5.7
Alabama,2004,Abril,5.8
Alabama,2004,Marzo,5.8
Alabama,2004,Febrero,5.9
Alabama,2004,Enero,5.9
Alabama,2005,Diciembre,4.2
Alabama,2005,Noviembre,4.2
Alabama,2005,Octubre,4.2
Alabama,2005,Septiembre,4.3
Alabama,2005,Agosto,4.3
Alabama,2005,Julio,4.3
Alabama,2005,Junio,4.4
Alabama,2005,Mayo,4.4
Alabama,2005,Abril,4.6
Alabama,2005,Marzo,4.7
Alabama,2005,Febrero,4.9
Alabama,2005,Enero,5.0
Alabama,2006,Diciembre,3.8
Alabama,2006,Noviembre,3.9
Alabama,2006,Octubre,3.9
Alabama,2006,Septiembre,3.9
Alabama,2006,Agosto,4.0
Alabama,2006,Julio,4.0
Alabama,2006,Junio,4.0
Alabama,2006,Mayo,4.1
Alabama,2006,Abril,4.1
Alabama,2006,Marzo,4.1
Alabama,2006,Febrero,4.1
Alabama,2006,Enero,4.1
Alabama,2007,Diciembre,4.4
Alabama,2007,Noviembre,4.3
Alabama,2007,Octubre,4.2
Alabama,2007,Septiembre,4.2
Alabama,2007,Agosto,4.1
Alabama,2007,Julio,4.0
Alabama,2007,Junio,4.0
Alabama,2007,Mayo,3.9
Alabama,2007,Abril,3.9
Alabama,2007,Marzo,3.9
Alabama,2007,Febrero,3.8
Alabama,2007,Enero,3.8
Alabama,2008,Diciembre,7.8
Alabama,2008,Noviembre,7.3
Alabama,2008,Octubre,6.9
Alabama,2008,Septiembre,6.5
Alabama,2008,Agosto,6.1
Alabama,2008,Julio,5.9
Alabama,2008,Junio,5.6
Alabama,2008,Mayo,5.3
Alabama,2008,Abril,5.1
Alabama,2008,Marzo,4.9
Alabama,2008,Febrero,4.7
Alabama,2008,Enero,4.5
Alabama,2009,Diciembre,11.1
Alabama,2009,Noviembre,11.0
Alabama,2009,Octubre,10.9
Alabama,2009,Septiembre,10.8
Alabama,2009,Agosto,10.6
Alabama,2009,Julio,10.4
Alabama,2009,Junio,10.2
Alabama,2009,Mayo,9.9
Alabama,2009,Abril,9.6
Alabama,2009,Marzo,9.3
Alabama,2009,Febrero,8.8
Alabama,2009,Enero,8.4
Alabama,2010,Diciembre,10.1
Alabama,2010,Noviembre,10.2
Alabama,2010,Octubre,10.1
Alabama,2010,Septiembre,10.1
Alabama,2010,Agosto,10.0
Alabama,2010,Julio,10.1
Alabama,2010,Junio,10.1
Alabama,2010,Mayo,10.3
Alabama,2010,Abril,10.5
Alabama,2010,Marzo,10.9
Alabama,2010,Febrero,11.0
Alabama,2010,Enero,11.1
Arkansas,2000,Diciembre,4.2
Arkansas,2000,Noviembre,4.2
Arkansas,2000,Octubre,4.1
Arkansas,2000,Septiembre,4.1
Arkansas,2000,Agosto,4.1
Arkansas,2000,Julio,4.1
Arkansas,2000,Junio,4.1
Arkansas,2000,Mayo,4.2
Arkansas,2000,Abril,4.2
Arkansas,2000,Marzo,4.2
Arkansas,2000,Febrero,4.3
Arkansas,2000,Enero,4.3
Arkansas,2001,Diciembre,5.3
Arkansas,2001,Noviembre,5.2
Arkansas,2001,Octubre,5.1
Arkansas,2001,Septiembre,5.0
Arkansas,2001,Agosto,4.8
Arkansas,2001,Julio,4.7
Arkansas,2001,Junio,4.7
Arkansas,2001,Mayo,4.6
Arkansas,2001,Abril,4.5
Arkansas,2001,Marzo,4.5
Arkansas,2001,Febrero,4.4
Arkansas,2001,Enero,4.3
Arkansas,2002,Diciembre,5.4
Arkansas,2002,Noviembre,5.3
Arkansas,2002,Octubre,5.2
Arkansas,2002,Septiembre,5.2
