,RegionName,StateName,date,value
0,California,CA,1996-01-31,162238.0
1,Texas,TX,1996-01-31,97631.0
2,New York,NY,1996-01-31,139108.0
3,Florida,FL,1996-01-31,100595.0
4,Illinois,IL,1996-01-31,139112.0
5,Pennsylvania,PA,1996-01-31,96300.0
6,Ohio,OH,1996-01-31,92098.0
7,Michigan,MI,1996-01-31,90643.0
8,Georgia,GA,1996-01-31,102841.0
9,North Carolina,NC,1996-01-31,109754.0
10,New Jersey,NJ,1996-01-31,162226.0
11,Virginia,VA,1996-01-31,121528.0
12,Washington,WA,1996-01-31,140993.0
13,Massachusetts,MA,1996-01-31,153060.0
14,Indiana,IN,1996-01-31,109862.0
15,Arizona,AZ,1996-01-31,108148.0
16,Tennessee,TN,1996-01-31,91256.0
17,Missouri,MO,1996-01-31,82885.0
18,Maryland,MD,1996-01-31,149713.0
19,Wisconsin,WI,1996-01-31,99427.0
20,Minnesota,MN,1996-01-31,103478.0
21,Colorado,CO,1996-01-31,139383.0
22,Alabama,AL,1996-01-31,82380.0
23,South Carolina,SC,1996-01-31,97056.0
24,Louisiana,LA,1996-01-31,83464.0
25,Kentucky,KY,1996-01-31,75941.0
26,Oregon,OR,1996-01-31,130798.0
27,Oklahoma,OK,1996-01-31,63950.0
28,Connecticut,CT,1996-01-31,149422.0
29,Iowa,IA,1996-01-31,80496.0
30,Mississippi,MS,1996-01-31,73297.0
31,Arkansas,AR,1996-01-31,68742.0
32,Kansas,KS,1996-01-31,76315.0
33,Utah,UT,1996-01-31,158790.0
34,Nevada,NV,1996-01-31,157071.0
35,New Mexico,NM,1996-01-31,
36,West Virginia,WV,1996-01-31,61171.0
37,Nebraska,NE,1996-01-31,83534.0
38,Idaho,ID,1996-01-31,124193.0
39,Hawaii,HI,1996-01-31,246670.0
40,Maine,ME,1996-01-31,98862.0
41,New Hampshire,NH,1996-01-31,106348.0
42,Rhode Island,RI,1996-01-31,126677.0
43,Montana,MT,1996-01-31,
44,Delaware,DE,1996-01-31,131960.0
45,South Dakota,SD,1996-01-31,84389.0
46,Alaska,AK,1996-01-31,125190.0
47,North Dakota,ND,1996-01-31,
48,Vermont,VT,1996-01-31,108750.0
49,District of Columbia,DC,1996-01-31,166900.0
50,Wyoming,WY,1996-01-31,
51,California,CA,1996-02-29,162008.0
52,Texas,TX,1996-02-29,97656.0
53,New York,NY,1996-02-29,138793.0
54,Florida,FL,1996-02-29,100691.0
55,Illinois,IL,1996-02-29,138861.0
56,Pennsylvania,PA,1996-02-29,96233.0
57,Ohio,OH,1996-02-29,92209.0
58,Michigan,MI,1996-02-29,90966.0
59,Georgia,GA,1996-02-29,103000.0
60,North Carolina,NC,1996-02-29,109967.0
61,New Jersey,NJ,1996-02-29,161928.0
62,Virginia,VA,1996-02-29,121466.0
63,Washington,WA,1996-02-29,140998.0
64,Massachusetts,MA,1996-02-29,153050.0
65,Indiana,IN,1996-02-29,109872.0
66,Arizona,AZ,1996-02-29,108454.0
67,Tennessee,TN,1996-02-29,91437.0
68,Missouri,MO,1996-02-29,83090.0
69,Maryland,MD,1996-02-29,149694.0
70,Wisconsin,WI,1996-02-29,99576.0
71,Minnesota,MN,1996-02-29,103315.0
72,Colorado,CO,1996-02-29,139842.0
73,Alabama,AL,1996-02-29,82480.0
74,South Carolina,SC,1996-02-29,97193.0
75,Louisiana,LA,1996-02-29,83778.0
76,Kentucky,KY,1996-02-29,76096.0
77,Oregon,OR,1996-02-29,131281.0
78,Oklahoma,OK,1996-02-29,64047.0
79,Connecticut,CT,1996-02-29,149224.0
80,Iowa,IA,1996-02-29,80662.0
81,Mississippi,MS,1996-02-29,73296.0
82,Arkansas,AR,1996-02-29,68773.0
83,Kansas,KS,1996-02-29,76461.0
84,Utah,UT,1996-02-29,158930.0
85,Nevada,NV,1996-02-29,157039.0
86,New Mexico,NM,1996-02-29,
87,West Virginia,WV,1996-02-29,61176.0
88,Nebraska,NE,1996-02-29,83858.0
89,Idaho,ID,1996-02-29,124003.0
90,Hawaii,HI,1996-02-29,245772.0
91,Maine,ME,1996-02-29,98499.0
92,New Hampshire,NH,1996-02-29,106046.0
93,Rhode Island,RI,1996-02-29,126771.0
94,Montana,MT,1996-02-29,
95,Delaware,DE,1996-02-29,131905.0
96,South Dakota,SD,1996-02-29,84783.0
97,Alaska,AK,1996-02-29,125611.0
98,North Dakota,ND,1996-02-29,
99,Vermont,VT,1996-02-29,108738.0
100,District of Columbia,DC,1996-02-29,166140.0
101,Wyoming,WY,1996-02-29,
102,California,CA,1996-03-31,161859.0
103,Texas,TX,1996-03-31,97684.0
104,New York,NY,1996-03-31,138607.0
105,Florida,FL,1996-03-31,100803.0
106,Illinois,IL,1996-03-31,138544.0
107,Pennsylvania,PA,1996-03-31,96166.0
108,Ohio,OH,1996-03-31,92355.0
109,Michigan,MI,1996-03-31,91276.0
110,Georgia,GA,1996-03-31,103162.0
111,North Carolina,NC,1996-03-31,110158.0
112,New Jersey,NJ,1996-03-31,161712.0
113,Virginia,VA,1996-03-31,121467.0
114,Washington,WA,1996-03-31,141021.0
115,Massachusetts,MA,1996-03-31,153162.0
116,Indiana,IN,1996-03-31,109445.0
117,Arizona,AZ,1996-03-31,108807.0
118,Tennessee,TN,1996-03-31,91658.0
119,Missouri,MO,1996-03-31,83256.0
120,Maryland,MD,1996-03-31,149688.0
121,Wisconsin,WI,1996-03-31,99682.0
122,Minnesota,MN,1996-03-31,103252.0
123,Colorado,CO,1996-03-31,140220.0
124,Alabama,AL,1996-03-31,82562.0
125,South Carolina,SC,1996-03-31,97244.0
126,Louisiana,LA,1996-03-31,84016.0
127,Kentucky,KY,1996-03-31,76224.0
128,Oregon,OR,1996-03-31,131701.0
129,Oklahoma,OK,1996-03-31,64201.0
130,Connecticut,CT,1996-03-31,149452.0
131,Iowa,IA,1996-03-31,80807.0
132,Mississippi,MS,1996-03-31,73370.0
133,Arkansas,AR,1996-03-31,68849.0
134,Kansas,KS,1996-03-31,76615.0
135,Utah,UT,1996-03-31,159207.0
136,Nevada,NV,1996-03-31,157188.0
137,New Mexico,NM,1996-03-31,
138,West Virginia,WV,1996-03-31,61178.0
139,Nebraska,NE,1996-03-31,84070.0
140,Idaho,ID,1996-03-31,123928.0
141,Hawaii,HI,1996-03-31,244994.0
142,Maine,ME,1996-03-31,98271.0
