,STATE,STATE
0,TX,798
1,CA,569
2,FL,350
3,OH,290
4,PA,279
5,NY,276
6,LA,261
7,GA,230
8,IL,226
9,IN,190
10,MI,185
11,MO,181
12,TN,176
13,WI,169
14,KS,169
15,OK,165
16,NC,157
17,NJ,150
18,IA,145
19,MN,144
20,VA,143
21,AZ,142
22,MA,136
23,WA,133
24,AL,133
25,MS,129
26,KY,128
27,AR,122
28,CO,119
29,NE,111
30,SC,108
31,SD,77
32,NV,76
33,PR,75
34,OR,74
35,MD,71
36,WV,71
37,MT,69
38,UT,68
39,NM,62
40,ND,57
41,ID,55
42,ME,52
43,CT,40
44,WY,37
45,NH,36
46,AK,32
47,HI,29
48,RI,20
49,VT,18
50,DE,15
51,DC,15
52,GU,2
53,VI,2
54,MP,1
55,AS,1
56,PW,1
